Recip_County,SVI_CTGY,Metro_status,Census2019
Pratt,3,0,9164.0
Montcalm,2,1,63888.0
Newaygo,2,0,48980.0
Hayes,4,0,922.0
Dukes,4,0,17332.0
Nantucket,4,0,11399.0
Barnstable,4,1,212990.0
Salem city,3,1,25301.0
Franklin city,2,0,7967.0
Buena Vista city,3,0,6478.0
Norton city,1,0,3981.0
Covington city,3,0,5538.0
Emporia city,1,0,5346.0
Galax city,1,0,6347.0
Martinsville city,1,0,12554.0
Poquoson city,4,1,12271.0
Hinsdale,4,0,820.0
Costilla,1,0,3887.0
Sarpy,4,1,187196.0
Hooker,4,0,682.0
Waseca,3,0,18612.0
Otoe,4,0,16012.0
Nuckolls,4,0,4148.0
Merrick,4,1,7755.0
Saunders,4,1,21578.0
Banner,4,0,745.0
Thayer,4,0,5003.0
Richardson,4,0,7865.0
Gage,4,0,21513.0
Hitchcock,4,0,2762.0
Antelope,4,0,6298.0
Arthur,4,0,463.0
Morrill,3,0,4642.0
Garden,4,0,1837.0
Keith,4,0,8034.0
Kearney,4,0,6495.0
Kimball,2,0,3632.0
Scotts Bluff,2,0,35618.0
Burt,3,0,6459.0
Gosper,4,0,1990.0
Frontier,4,0,2627.0
Dixon,3,1,5636.0
Cuming,4,0,8846.0
Red Willow,4,0,10724.0
Nance,4,0,3519.0
Furnas,4,0,4676.0
Dawes,4,0,8589.0
Box Butte,3,0,10783.0
