Recip_County,SVI_CTGY,Metro_status,Census2019
Tipton,3,1,61599.0
Hickman,2,0,4380.0
Pulaski,3,1,34027.0
Trempealeau,3,0,29649.0
Carson,4,1,5926.0
Menominee,1,0,4556.0
Armstrong,4,1,64735.0
Prince of Wales-Hyder Census Area,1,0,6203.0
DeSoto,1,0,38001.0
Wapello,2,0,34969.0
Mower,2,0,40062.0
Tate,1,1,28321.0
Somerset,1,1,25616.0
Hampton,1,0,19222.0
Caroline,3,1,30725.0
Fisher,3,0,3830.0
Brown,3,1,264542.0
Asotin,3,1,22582.0
Sitka City and Borough,3,0,8493.0
Yell,1,0,21341.0
Hanover,4,1,107766.0
El Dorado,4,1,192843.0
Peoria,2,1,179179.0
Hidalgo,1,1,868707.0
Missaukee,3,0,15118.0
Lucas,3,0,8600.0
Searcy,3,0,7881.0
Ralls,4,0,10309.0
Washita,3,0,10916.0
Spink,4,0,6376.0
Woodruff,1,0,6320.0
Sheridan,4,0,1315.0
Le Sueur,4,1,28887.0
Briscoe,3,0,1546.0
Dewey,1,0,5892.0
Manassas Park city,2,1,17478.0
Labette,2,0,19618.0
Penuelas Municipio,2,1,19249.0
Callahan,3,1,13943.0
St. Joseph,2,1,271826.0
Santa Isabel Municipio,3,0,21209.0
Erie,3,0,74266.0
Josephine,2,1,87487.0
Berks,2,1,421164.0
Bowie,1,1,93245.0
Reagan,3,0,3849.0
Steuben,3,0,95379.0
Emmet,4,0,33415.0
Macoupin,4,1,44926.0
Charlton,1,0,13392.0
Stewart,3,0,13715.0
Hawkins,2,1,56786.0
Cambria,3,1,130192.0
Custer,4,0,5068.0
Pittsburg,1,0,43654.0
Fluvanna,4,1,27270.0
Smith,2,1,232751.0
Okeechobee,1,0,42168.0
Angelina,1,0,86715.0
Cross,2,0,16419.0
Menard,4,1,12196.0
Tangipahoa Parish,1,1,134758.0
Autauga,3,1,55869.0
Imperial,1,1,181215.0
Lincoln,3,0,19980.0
Gilliam,2,0,1912.0
Butte,3,0,10429.0
Sharkey,1,0,4321.0
Boise,4,1,7831.0
Owen,2,0,10901.0
Bath,4,0,4147.0
Hanson,4,0,3453.0
Jeff Davis,3,0,2274.0
Brewster,2,0,9203.0
Webb,1,1,276652.0
Cleburne,2,0,14910.0
Lamar,2,1,63343.0
Noble,3,0,14424.0
Henrico,3,1,330818.0
Onslow,2,1,197938.0
Walton,3,1,94593.0
Phillips,4,0,5234.0
Putnam,4,1,56450.0
Huron,3,0,30981.0
Carlisle,3,0,4760.0
Kitsap,3,1,271473.0
Amelia,3,1,13145.0
Nacogdoches,1,0,65204.0
Creek,3,1,71522.0
Mitchell,2,0,8545.0
Chilton,1,1,44428.0
Kings,1,1,152940.0
Elliott,2,0,7517.0
Indian River,3,1,159923.0
Weld,3,1,324492.0
Cleveland,3,1,284014.0
Roscommon,3,0,24019.0
Alpena,3,0,28405.0
Canyon,2,1,229849.0
Eaton,3,1,110268.0
Placer,4,1,398329.0
San Diego,2,1,3338330.0
Twin Falls,3,0,86878.0
Jessamine,2,1,54115.0
Harmon,1,0,2653.0
Minidoka,2,0,21039.0
Missoula,4,1,119600.0
Cocke,2,0,36004.0
Deaf Smith,1,0,18546.0
Adair,3,0,25343.0
Butler,3,1,383134.0
Vanderburgh,2,1,181451.0
Kusilvak Census Area,1,0,8314.0
Loiza Municipio,1,1,24553.0
Broome,2,1,190488.0
San Sebastian Municipio,1,1,35528.0
Gasconade,4,0,14706.0
Raleigh,1,1,73361.0
Franklin,3,1,56042.0
Manati Municipio,2,1,37287.0
San Bernardino,1,1,2180085.0
Carbon,3,1,64182.0
Chester,2,1,32244.0
Riley,3,1,74232.0
Lebanon,2,1,141793.0
Hennepin,3,1,1265843.0
Bastrop,2,1,88723.0
Sweetwater,3,0,42343.0
Titus,1,0,32750.0
Osage,4,1,13615.0
Barbour,1,0,24686.0
Cullman,2,0,83768.0
Cotton,2,1,5666.0
Casey,1,0,16159.0
Bristol Bay Borough,3,0,836.0
Lemhi,3,0,8027.0
Jayuya Municipio,1,0,13891.0
Guthrie,4,1,10689.0
Otsego,3,0,59493.0
Greenville,2,1,523542.0
Perry,4,1,46272.0
Chemung,3,1,83456.0
Gogebic,3,0,13975.0
Sarasota,3,1,433742.0
Drew,1,0,18219.0
Hampden,1,1,466372.0
Gordon,1,0,57963.0
Mason,2,0,26516.0
Blackford,3,0,11758.0
Riverside,1,1,2470546.0
Beaufort,3,1,192122.0
Escambia,3,1,318316.0
Caguas Municipio,4,1,124606.0
Cook,1,0,17270.0
